ID,Class,Co (ppm),Ni (ppm),Cu (ppm),Zn (ppm),As (ppm),Mo (ppm),Ag (ppm),Sb (ppm),Te (ppm),Au (ppm),Tl (ppm),Pb (ppm),d34S (‰),Deposit style,Period,Description,Reference
0,Sedimentary,156.0176089,329.4860134,273.9414442,34.33388048,258.8083328,9.399489041,5.382540675,159.1200066,0.993235936,0.162622308,1.887490215,458.8561541,38.362,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
1,Sedimentary,100.7877705,280.5526352,186.8345133,0,217.3269277,6.38869372,5.817663238,108.3352489,1.18988734,1.167036859,2.424510122,351.430496,38.169,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
2,Sedimentary,143.5686875,243.2617843,114.6423013,91.12800711,154.8825119,5.720907738,4.257207901,112.3078661,1.918968906,0.202163963,1.757331416,805.2612462,38.206,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
3,Sedimentary,128.1953187,432.4649849,216.2725919,0,318.6120687,6.441567278,5.530337725,229.9912153,0.4915,0.48898069,2.582279105,655.7329536,37.646,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
4,Sedimentary,52.3215334,309.6136886,326.3680517,23.80917185,552.954438,3.220697068,3.674870029,430.1680111,1.170203522,0.073555417,3.52362485,375.3240108,39.005,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
5,Sedimentary,187.8303448,387.908606,184.4484404,49.3922669,478.8128132,4.035802871,6.743060269,350.0500426,1.30244638,0.838243217,2.765944146,454.9558877,36.34,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
6,Sedimentary,243.5671095,241.6632633,179.0440198,0,547.1755253,3.862250232,7.181192083,418.6634168,1.650826011,4.12443548,4.012421025,275.01053,38.629,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
7,Sedimentary,449.4260635,241.0097292,405.8402853,102.6306728,498.4158362,3.627889204,6.379054518,364.3161004,0.46,0.095922144,4.389206424,187.3352268,36.331,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
8,Sedimentary,283.8572089,248.7795676,172.8361283,34.61711942,520.138848,3.39162112,4.969290527,363.356989,1.358905801,0.253704006,3.78765597,317.4683519,37.36,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
9,Sedimentary,262.2536902,260.9719853,193.1941052,112.8103629,404.0004357,2.664876066,4.112959802,327.5768676,1.087028688,0.045816717,3.110981251,227.4119532,35.332,Secondary py nodules,Cambrian,Black shale nodules,Gregory et al. 2019
10,High Temperature,9.232722186,19.68340462,0.148693423,1.298019966,1.592498686,,,0.005,,,,0.005,28.55475185,Skarn,Cambrian,Py(o),Ding et al. 2021
11,High Temperature,3.714396188,76.9227216,0.066324633,0.490846224,2.526589308,,,0.005,,,,0.016924532,28.69161667,Skarn,Cambrian,Py(o),Ding et al. 2021
12,High Temperature,9.322479781,267.9740349,0.321001319,1.401241702,2.776104096,,,0.005,,,,0.039891698,27.78253793,Skarn,Cambrian,Py(o),Ding et al. 2021
13,High Temperature,5.068498349,10.86491995,3.344765011,1.351336291,1.425205981,,,0.005,,,,0.104033659,28.44032136,Skarn,Cambrian,Py(o),Ding et al. 2021
14,High Temperature,4.440068564,22.95589724,0.143699004,1.155824964,1.343036349,,,0.005,,,,0.005,28.54169139,Skarn,Cambrian,Py(o),Ding et al. 2021
15,High Temperature,31.83393541,55.66058568,0.523587237,0.482061566,2.546596926,,,0.005,,,,0.005,28.79399468,Skarn,Cambrian,Py(o),Ding et al. 2021
16,High Temperature,2.66947481,52.52453719,0.026647777,0.663133032,2.320293772,,,0.005,,,,0.005,28.33752358,Skarn,Cambrian,Py(o),Ding et al. 2021
17,High Temperature,67.80008053,938.3959741,4.100681747,1.179789064,132.5933337,,,0.005,,,,0.05392906,25.96293322,Skarn,Cambrian,Py(o),Ding et al. 2021
18,High Temperature,18.65762623,130.4986655,0.41205458,0.312562338,45.53372633,,,0.013333278,,,,0.005,25.54640415,Skarn,Cambrian,Py(o),Ding et al. 2021
19,High Temperature,7.854346983,710.9457414,0.09716611,0.857901448,58.90778095,,,0.066648556,,,,0.005,25.24369645,Skarn,Cambrian,Py(o),Ding et al. 2021
20,High Temperature,15.44786046,116.4591655,0.390981288,0.780989222,52.43206316,,,0.03445376,,,,0.005,25.81504704,Skarn,Cambrian,Py(o),Ding et al. 2021
21,High Temperature,30.12007588,455.039821,0.230117451,0.901516156,76.22429664,,,0.005,,,,0.006199975,25.46323515,Skarn,Cambrian,Py(o),Ding et al. 2021
22,High Temperature,10.62116844,557.8388774,0.221729395,0.50934923,48.69827755,,,0.005,,,,0.549791623,24.93530062,Skarn,Cambrian,Py(o),Ding et al. 2021
23,High Temperature,62.04785176,471.3124793,0.075112621,0.663745673,94.90393644,,,0.005,,,,0.005,24.76333431,Skarn,Cambrian,Py(o),Ding et al. 2021
24,High Temperature,44.71887123,52.78928825,0.61235509,1.067844765,27.82744194,,,0.005,,,,0.128801093,26.73880494,Skarn,Cambrian,Py(o),Ding et al. 2021
25,High Temperature,16.64576727,362.7509744,0.321589517,1.194466338,40.17426265,,,0.02189486,,,,0.013252568,24.78454961,Skarn,Cambrian,Py(o),Ding et al. 2021
26,High Temperature,6.383632215,40.38497159,62.21295557,2.550042879,212.7587915,,,188.6730088,,,,1070.694636,24.85875661,Skarn,Cambrian,Py(o),Ding et al. 2021
27,High Temperature,4.33560301,117.7756017,393.5178011,6.9687633,257.3397406,,,137.105635,,,,695.7313732,25.05540237,Skarn,Cambrian,Py(o),Ding et al. 2021
28,High Temperature,0.270398851,79.2652781,3027.19789,94.81945072,103.4458553,,,138.0194074,,,,781.2479618,24.94749199,Skarn,Cambrian,Py(o),Ding et al. 2021
29,High Temperature,0.331304247,1.09511071,56.55138096,1.735672938,220.066468,,,180.8614329,,,,979.3942199,25.07049759,Skarn,Cambrian,Py(o),Ding et al. 2021
30,High Temperature,0.352930966,1.100213922,4.965161042,3.708088439,10.85685794,,,2.197317945,,,,1.224625979,29.21453964,Skarn,Cambrian,Py(o),Ding et al. 2021
31,High Temperature,1.386160539,7.245217309,1.978847113,3.079604652,12.82562531,,,7.742485274,,,,4.225963603,29.40870395,Skarn,Cambrian,Py(o),Ding et al. 2021
32,High Temperature,0.314467761,0.362238004,15.91928835,1.530596964,118.6240883,,,72.44836648,,,,37.39157323,29.85789851,Skarn,Cambrian,Py(o),Ding et al. 2021
33,High Temperature,0.127023672,0.309579865,27.31764981,2.127083413,148.9268732,,,121.4462688,,,,59.01732527,29.75224067,Skarn,Cambrian,Py(o),Ding et al. 2021
34,High Temperature,1.229287928,311.1683956,135.5685611,126.3302185,134.4727115,,,41.57007499,,,,458.1299726,29.81445233,Skarn,Cambrian,Py(o),Ding et al. 2021
35,High Temperature,0.259672035,14.94697044,29.69820825,1.474951908,134.0154512,,,65.21321186,,,,359.8868753,29.47300207,Skarn,Cambrian,Py(o),Ding et al. 2021
36,High Temperature,19.188965,80.86084634,43.46582327,4.971468046,0.168516474,,,48.85073835,,,,4.151348115,29.35123039,Skarn,Cambrian,Py(o),Ding et al. 2021
37,High Temperature,22.66339283,616.9287026,161.0661328,5.508020181,45.72659777,,,0.005,,,,14.18806927,27.61582924,Skarn,Cambrian,Py(o),Ding et al. 2021
38,High Temperature,203.2546452,421.9613768,0.563510669,1.223842762,39.69538814,,,0.005,,,,0.081525173,27.86609615,Skarn,Cambrian,Py(o),Ding et al. 2021
39,High Temperature,146.8451334,201.0456246,420.1752612,7.473026939,46.7878266,,,0.063799235,,,,28.22596136,28.18862563,Skarn,Cambrian,Py(o),Ding et al. 2021
40,High Temperature,53.76965286,182.963928,0.633146688,1.231388804,51.81846077,,,0.005,,,,0.05226322,28.20004983,Skarn,Cambrian,Py(o),Ding et al. 2021
41,High Temperature,1.538541176,233.737116,0.982991901,2.257706294,48.61802457,,,0.032444895,,,,1.150356175,27.8395757,Skarn,Cambrian,Py(o),Ding et al. 2021
42,High Temperature,60.83405036,645.4381446,1.407610693,5.089735353,27.7033857,,,0.009432208,,,,0.084869328,28.15312903,Skarn,Cambrian,Py(o),Ding et al. 2021
43,High Temperature,14.5566506,65.61422058,1.41793242,1.571905097,21.39547138,,,0.02350206,,,,0.005,28.72025598,Skarn,Cambrian,Py(o),Ding et al. 2021
44,High Temperature,76.91841554,516.8605092,0.410039028,1.432313104,13.0536288,,,0.005020606,,,,0.005,28.28001493,Skarn,Cambrian,Py(o),Ding et al. 2021
45,High Temperature,116.4479127,617.8209783,1.42547496,0.864462513,17.2155643,,,0.013677478,,,,0.007720429,27.72593954,Skarn,Cambrian,Py(o),Ding et al. 2021
46,High Temperature,38.36152756,103.7070672,0.288215499,1.483320238,11.58539958,,,0.005,,,,0.005,27.97360063,Skarn,Cambrian,Py(o),Ding et al. 2021
47,High Temperature,198.0686068,393.0044974,0.882695943,0.888304574,18.18856414,,,0.059546799,,,,1.226358501,26.29631641,Skarn,Cambrian,Py(o),Ding et al. 2021
48,High Temperature,49.27936952,197.2524416,0.248400228,1.310815537,25.63133753,,,0.025837527,,,,0.023952015,25.46231521,Skarn,Cambrian,Py(o),Ding et al. 2021
49,High Temperature,58.57719864,417.8552484,0.247117556,1.631690483,26.13715392,,,0.005,,,,0.005,25.44455747,Skarn,Cambrian,Py(o),Ding et al. 2021
50,High Temperature,84.71011721,631.2112324,0.411153432,1.279058857,22.80812296,,,0.055501886,,,,0.016053958,25.77725986,Skarn,Cambrian,Py(o),Ding et al. 2021
51,High Temperature,83.1431029,548.4494371,0.117594886,1.059698824,29.17182322,,,0.051670394,,,,0.010876833,25.44374103,Skarn,Cambrian,Py(o),Ding et al. 2021
52,High Temperature,55.8242061,144.0118801,0.294759969,2.393831064,21.39693497,,,0.007113,,,,0.005,25.70317255,Skarn,Cambrian,Py(o),Ding et al. 2021
53,High Temperature,89.0653647,401.4804705,1.102880799,1.076708603,16.51360844,,,0.236386955,,,,6.741348029,25.58519294,Skarn,Cambrian,Py(o),Ding et al. 2021
54,High Temperature,141.0705638,627.4616588,0.427411867,1.480180881,24.83231959,,,0.022043804,,,,0.00710013,26.6198619,Skarn,Cambrian,Py(o),Ding et al. 2021
55,High Temperature,148.2775145,293.609255,0.154116537,1.372782286,17.16257252,,,0.005,,,,0.00597471,26.70069222,Skarn,Cambrian,Py(o),Ding et al. 2021
56,High Temperature,1537.250133,81.50122644,2.954446861,1.63268832,22.72964727,,,0.05701931,,,,22.81262842,23.46939026,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
57,High Temperature,3650.171218,73.75441922,36.30723591,5.621562793,23.66172482,,,0.150892749,,,,23.001312,25.52163519,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
58,High Temperature,509.2881893,174.813127,2.703300689,1.529240985,60.86211617,,,0.005,,,,1.624814421,25.76461738,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
59,High Temperature,950.6956846,108.3150906,3.414188452,1.768020367,19.15760758,,,0.028143424,,,,48.42501781,25.12607604,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
60,High Temperature,3337.339179,213.186393,195.7057427,86.82633156,27.99934211,,,1.231407865,,,,110.0635892,26.54950474,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
61,High Temperature,5029.517923,44.23101383,47.41220672,18.84463245,30.46513492,,,0.21066421,,,,23.49347224,26.77100716,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
62,High Temperature,957.376617,76.17789832,0.916516945,1.4699254,5.980865239,,,0.005,,,,0.176601933,26.56237659,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
63,High Temperature,4915.463693,11.8152257,0.836636674,2.233043205,122.4629423,,,0.247093361,,,,0.574336567,27.11015931,Skarn,Cambrian,Py(r) (rhyolite),Ding et al. 2021
64,High Temperature,1118.250416,97.31982188,2.380019743,9.078921657,88.64101238,,,0.092971766,,,,18.00113321,24.87387229,Skarn,Cambrian,Py(r) (Mag vein),Ding et al. 2021
65,High Temperature,340.5247937,260.3787122,13.7665465,17.08882287,216.9780231,,,1.252223999,,,,56.16429953,25.73899836,Skarn,Cambrian,Py(r) (Mag vein),Ding et al. 2021
66,High Temperature,275.7334967,271.9806891,30.89706172,34.80842616,139.1553005,,,0.57835746,,,,128.9971536,25.68306525,Skarn,Cambrian,Py(r) (Mag vein),Ding et al. 2021
67,High Temperature,4991.359447,27.99568701,0.125175803,1.774546889,13.12238626,,,0.026048447,,,,0.007844074,25.17547255,Skarn,Cambrian,Py(r) (Mag vein),Ding et al. 2021
68,Polymetallic Hydrothermal,8903.734761,52.56687929,0.133161761,1.903193717,12.67636406,,,0.005,,,,0.87276984,18.05322121,hydrothermal,Cambrian,Py(v),Ding et al. 2021
69,Polymetallic Hydrothermal,9309.422812,43.51782681,0.294174962,0.968834902,13.21972379,,,0.005,,,,0.005,18.0195053,hydrothermal,Cambrian,Py(v),Ding et al. 2021
70,Sedimentary,0.086623135,4.734156811,16.31971674,19.43666093,116.2244726,13.41122265,4.333747409,25.63164474,1.114739775,1.4353518,11.43209724,84.85213622,-11.537,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
71,Sedimentary,0.109419667,10.24073115,3.933643211,21.42781794,269.9441503,15.59544235,5.764800941,56.23548154,0.857202515,0.555115328,7.726951738,87.23146222,-12.117,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
72,Sedimentary,0.319731442,28.08433217,7.577319609,144.4940522,300.5026614,22.11480591,5.249751429,62.46573119,1.162322154,0.194255202,6.159808602,80.29879316,-12.475,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
73,Sedimentary,0.043092016,4.429579786,2.539301044,8.724245031,260.7809118,2.559047309,5.498614605,51.76880306,0.366,0.272012989,4.758817399,91.52895473,-13.016,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
74,Sedimentary,0.062252012,9.467596154,3.373748482,13.92401872,254.1608583,23.66653677,7.43691157,58.52888652,1.095094202,3.146009543,9.290469811,129.8146292,-12.782,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
75,Sedimentary,0.400262186,28.92977874,9.038796496,17.95607077,245.7037573,20.12063918,3.33180784,39.28340773,0.81205455,3.171641955,4.673420373,53.27884901,-12.502,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
76,Sedimentary,0.513060653,46.26621476,21.19192417,79.62737049,268.5003685,55.28706894,5.727410641,69.87519884,1.30718779,6.312527075,13.41141817,122.3475774,-11.982,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
77,Sedimentary,0.377186623,29.85507323,29.52019001,206.7624869,311.2437391,52.05992244,10.83445152,94.15428613,1.111695116,3.326604638,10.17517792,173.7575581,-12.81,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
78,Sedimentary,0.559177487,38.5015419,22.65526658,32.64338904,257.1981722,72.39223961,6.106750278,60.40862219,1.31987178,8.380277635,10.64813799,109.4056566,-11.963,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
79,Sedimentary,0.38132457,42.0892647,13.56123855,23.83353056,234.1587462,17.91175888,4.533872422,46.24117306,0.996765511,0.975893452,6.412976613,79.71737293,-12.101,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
80,Sedimentary,0.124121874,18.34951576,5.676601038,25.32933932,250.6168897,20.75354939,6.245687651,49.6036695,0.3525,3.052723728,9.202101646,124.3130218,-11.708,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
81,Sedimentary,0.052937314,6.881338501,2.577457281,11.23558137,201.2109993,5.958890754,4.22885533,30.45955984,0.384,1.844984873,5.386428472,82.10187353,-10.999,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
82,Sedimentary,0.029791571,1.749795514,1.177055681,19.8316104,270.0856538,3.004144674,4.565976973,30.10913314,1.051496529,0.01,4.181692006,68.46103089,-11.423,Sedimentary,Carboniferous,Black shale w py disk,Gregory et al. 2019
83,Sedimentary,0.1,1.77,3.2,2.67,592,,0.97,1.32,,0.07,,35.1,-9.612451404,SEDEX,Carboniferous,"Framboidal pyrite
(Py1)",W. Zhang et al. 2022
84,Sedimentary,0.42,3.93,2.58,4.89,1231,,2.18,2.3,,0.24,,4962,-2.410354848,SEDEX,Carboniferous,"Framboidal pyrite
(Py1)",W. Zhang et al. 2022
85,Sedimentary,46.8,235,148,9.1,227,,12.1,8.21,,0.27,,330,-2.277548528,SEDEX,Carboniferous,"Framboidal pyrite
(Py1)",W. Zhang et al. 2022
86,Sedimentary,5.7,13.2,7.81,2.75,163,,1.94,2.26,,0.11,,42.6,-2.158316671,SEDEX,Carboniferous,"Framboidal pyrite
(Py1)",W. Zhang et al. 2022
87,Sedimentary,5.91,21.8,1.82,3.29,112,,1.05,1.06,,0.07,,27.4,-3.382349136,SEDEX,Carboniferous,"Framboidal pyrite
(Py1)",W. Zhang et al. 2022
88,Sedimentary,0.015,0.235,28.7,15.3,736,,71.7,154,,0.02,,1310,-0.6,SEDEX,Carboniferous,"Colloform pyrite
(Py2)",W. Zhang et al. 2022
89,Sedimentary,0.015,0.235,19.7,7.07,559,,43.7,128,,0.005,,775,-0.6,SEDEX,Carboniferous,"Colloform pyrite
(Py2)",W. Zhang et al. 2022
90,Sedimentary,0.015,0.235,18.4,9.31,610,,44,134,,0.005,,764,-1.6,SEDEX,Carboniferous,"Colloform pyrite
(Py2)",W. Zhang et al. 2022
91,Sedimentary,0.015,0.235,16.8,12.7,310,,45.3,84.5,,0.005,,535,-2,SEDEX,Carboniferous,"Colloform pyrite
(Py2)",W. Zhang et al. 2022
92,Sedimentary,0.015,0.235,20.3,14.2,942,,45.7,159,,0.005,,694,-1.4,SEDEX,Carboniferous,"Colloform pyrite
(Py2)",W. Zhang et al. 2022
93,Med Temperature,0.05,1.29,0.39,28.9,4.51,,0.02,0.07,,0.005,,1.2,-3.3,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
94,Med Temperature,0.015,0.235,0.26,25.7,3.93,,0,0.035,,0.01,,0.69,-5.5,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
95,Med Temperature,0.04,0.59,15.4,0.84,151,,3.6,26.5,,0.08,,160,-5,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
96,Med Temperature,0.015,0.53,19.5,1.07,170,,4.53,37.7,,0.08,,253,-3,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
97,Med Temperature,0.015,0.78,37.1,5.16,323,,4.24,15.3,,0.08,,208,-2.3,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
98,Med Temperature,0.04,3,2.8,0.53,0.235,,0.51,3.66,,0.005,,25.3,-3.4,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
99,Med Temperature,0.015,1.83,5.24,0.9,67.1,,4.23,27,,0.02,,63.2,-1.9,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
100,Med Temperature,0.015,0.235,5.4,122,2497,,1.19,7.59,,0.94,,149,-2.5,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
101,Med Temperature,0.015,0.6,24.5,1.04,2292,,3.72,24,,0.41,,758,-3.4,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
102,Med Temperature,0.015,0.235,1.84,1.67,17.3,,0.5,2.94,,0.005,,12.7,21.60669638,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
103,Med Temperature,0.015,0.61,17.3,0.62,354,,4.46,52.2,,0.15,,178,22.02665572,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
104,Med Temperature,0.25,6.11,0.61,0.57,16.3,,0.33,0.5,,0.005,,2.52,21.79028278,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
105,Med Temperature,0.38,31.9,10.6,0.49,1572,,3.4,15.1,,0.33,,1009,21.1707311,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
106,Med Temperature,0.03,1.26,147,138,1816,,131,621,,0.95,,4882,22.22320734,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
107,Med Temperature,0.03,0.53,61.8,57.2,356,,60.5,102,,0.24,,942,-3.162523654,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
108,Med Temperature,0.04,0.59,110,155,927,,99.9,351,,0.62,,1373,-10.16104238,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
109,Med Temperature,0.015,1.32,64.6,35.1,817,,160,277,,0.03,,3011,-6.151145075,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
110,Med Temperature,0.015,1.57,41.4,26.3,480,,123,153,,0.005,,1017,-3.550143384,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
111,Med Temperature,0.015,7.21,51.4,49.7,838,,125,329,,0.005,,1680,-5.416554674,SEDEX,Carboniferous,"Massive pyrite
(Py3)",W. Zhang et al. 2022
112,Med Temperature,0.015,0.235,1.58,1.23,0.1175,,1.25,0.94,,0.005,,18.5,0.548658736,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
113,Med Temperature,0.04,0.47,5.24,0.66,21.7,,10.6,7.3,,0.03,,78.9,-0.355430352,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
114,Med Temperature,0.015,0.235,0.23,0.98,0.1175,,0.2,0.08,,0.005,,0.4,-1.088997559,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
115,Med Temperature,0.05,0.62,0.64,1.38,239,,2.36,3.62,,0.12,,70.9,-1.433899405,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
116,Med Temperature,0.05,0.235,1.15,0.91,1563,,1.96,2.62,,1.66,,38.9,-1.222698337,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
117,Med Temperature,0.87,6.02,2.17,1.18,1222,,4.76,7.99,,0.23,,346,5.567365702,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
118,Med Temperature,0.04,1.22,0.95,0.83,786,,4.28,5.27,,0.77,,90.7,3.66061895,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
119,Med Temperature,0.06,0.235,1.85,1.36,963,,5.97,3.4,,0.95,,40.5,4.778079949,SEDEX,Carboniferous,"Pyrite coexisting with black sphalerite
(Py4a)",W. Zhang et al. 2022
120,Med Temperature,2.76,3.04,0.66,0.52,253,,0.04,0.58,,0.05,,8.32,1.308730438,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
121,Med Temperature,0.5,5.72,1.6,4.43,142,,0.26,3.15,,0.06,,33.2,7.382162191,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
122,Med Temperature,0.61,1.07,526,249,1117,,33.3,20.3,,2.16,,3324,4.486822498,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
123,Med Temperature,0.41,0.71,902,250,1042,,13.1,26.3,,1.15,,282,6.12054629,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
124,Med Temperature,0.86,6.41,79.7,3.27,932,,3.45,0.94,,0.28,,24.7,7.94546972,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
125,Med Temperature,0.19,1.26,16.9,1.56,263,,1.37,1.48,,0.09,,63.4,-2,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
126,Med Temperature,0.47,2.3,244,103,301,,38.8,3.18,,0.23,,209,2,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
127,Med Temperature,0.015,0.235,1.16,1.62,53.4,,2.13,0.41,,0.01,,10.5,1.1,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
128,Med Temperature,2.28,4.14,2717,481,934,,46.7,48.9,,1.22,,712,0.6,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
129,Med Temperature,3.34,0.235,2835,682,1917,,22.1,31.9,,6.45,,474,-1.2,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
130,Med Temperature,1.7,1498,114,5066,1034,,11,48.7,,1.2,,1022,1.308730438,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
131,Med Temperature,2.75,122,141,1454,5397,,17.3,128,,14.4,,2421,7.382162191,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
132,Med Temperature,5.59,1538,130,508,10977,,9.33,119,,31.6,,1039,6.12054629,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
133,Med Temperature,0.64,16,26.3,16.1,120,,55.9,3.71,,0.04,,173,7.94546972,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
134,Med Temperature,0.015,0.235,0.42,5,11.2,,0.07,0.035,,0.005,,5.14,-2,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
135,Med Temperature,7.35,4.61,15.1,100,1327,,10.8,14.3,,1.07,,82.4,2,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
136,Med Temperature,0.27,4.89,16,33,36.7,,8.76,4.4,,0.04,,107,1.1,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
137,Med Temperature,0.44,6.14,19.8,23.4,71.5,,11.1,1.96,,0.06,,100,0.6,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
138,Med Temperature,0.58,6.68,81.2,7.7,94.4,,64.3,3.41,,0.03,,123,-1.2,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
139,Med Temperature,0.43,15.3,63.9,13.9,360,,26,4.53,,0.17,,180,0.5,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
140,Med Temperature,0.26,8.15,7.74,42.7,1000,,5.17,2.49,,0.04,,121,2.567611922,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
141,Med Temperature,5.65,139,12.9,8.7,768,,14.6,4.63,,0.04,,242,2.624833807,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
142,Med Temperature,0.09,3.79,16.1,8.55,489,,104,3.64,,0.17,,111,2.408591608,SEDEX,Carboniferous,"Pyrite coexisting with yellow-brawn sphalerite 
(Py4b)",W. Zhang et al. 2022
